Locale,Language,Title,Short description,Full description
"ms-MY","Malay","Parti Sempurna Saya","Perancang kahwin & majlis — tetamu, tempat duduk, bajet, tugasan, jemputan.","My Perfect Party ialah wedding planner, perancang hari jadi dan aplikasi untuk setiap majlis.

Rancang majlis kahwin, hari jadi, ulang tahun, pertunangan, pembaptisan atau perjumpaan keluarga — pada telefon, dengan data tempatan pada peranti.

Apa yang boleh anda buat:
• Cipta acara dengan tarikh, masa, lokasi dan tema
• Senarai tetamu dan kehadiran
• Pelan tempat duduk dan meja
• Jejaki bajet dan perbelanjaan
• Urus tugasan dan peringatan
• Reka dan kongsi jemputan digital
• Eksport laporan PDF
• Sandaran e-mel pilihan

Kata kunci: wedding planner, perancang kahwin, perancang hari jadi, party planner, senarai tetamu, pelan tempat duduk, bajet kahwin, event planner.

Tiada akaun diperlukan. Berfungsi luar talian. Muat turun My Perfect Party — perancang kahwin & acara anda."
"th","Thai","ปาร์ตี้ที่สมบูรณ์แบบของฉัน","วางแผนงานแต่งและปาร์ตี้ — แขก ที่นั่ง งบประมาณ งาน และบัตรเชิญ","My Perfect Party คือแอปวางแผนงานแต่งงาน วันเกิด และงานฉลองทุกประเภท

วางแผนงานแต่ง วันเกิด ครบรอบ หมั้น งานเข้าพรรษา หรือปาร์ตี้ครอบครัว — บนมือถือ ข้อมูลเก็บในเครื่อง

สิ่งที่ทำได้:
• สร้างอีเวนต์พร้อมวัน เวลา สถานที่ และธีม
• รายชื่อแขกและการตอบรับ
• แผนที่นั่งและโต๊ะ
• ติดตามงบและค่าใช้จ่าย
• งานและตัวเตือน
• ออกแบบและแชร์บัตรเชิญดิจิทัล
• ส่งออกรายงาน PDF
• สำรองอีเมลแบบเลือกได้

คำค้น: wedding planner, วางแผนงานแต่ง, วางแผนวันเกิด, party planner, รายชื่อแขก, แผนที่นั่ง, งบงานแต่ง

ไม่ต้องมีบัญชี ใช้แบบออฟไลน์ได้ ดาวน์โหลด My Perfect Party — ตัวช่วยวางแผนงานแต่งและอีเวนต์"
"vi","Vietnamese","Bữa tiệc hoàn hảo của tôi","Lập kế hoạch cưới & sự kiện — khách, chỗ ngồi, ngân sách, việc và thiệp.","My Perfect Party là ứng dụng lập kế hoạch đám cưới, sinh nhật và mọi buổi tiệc.

Lên kế hoạch đám cưới, sinh nhật, kỷ niệm, đính hôn, rửa tội hoặc họp mặt gia đình — trên điện thoại, dữ liệu lưu cục bộ trên máy.

Bạn có thể:
• Tạo sự kiện với ngày, giờ, địa điểm và chủ đề
• Danh sách khách và theo dõi tham dự
• Sơ đồ chỗ ngồi và bàn
• Theo dõi ngân sách và chi phí
• Quản lý việc và nhắc nhở
• Thiết kế và chia sẻ thiệp mời số
• Xuất báo cáo PDF
• Sao lưu email tùy chọn

Từ khóa: wedding planner, lập kế hoạch đám cưới, lập kế hoạch sinh nhật, party planner, danh sách khách, sơ đồ chỗ ngồi, ngân sách cưới, event planner.

Không cần tài khoản. Hoạt động ngoại tuyến. Tải My Perfect Party — wedding & events planner của bạn."
"ja-JP","Japanese","マイパーフェクトパーティー","結婚式・パーティー計画 — ゲスト、席次、予算、タスク、招待状。","My Perfect Partyはウェディングプランナー、誕生日プランナー、あらゆるお祝いのためのアプリです。

結婚式、誕生日、記念日、婚約、洗礼、家族の集まりをスマホで計画。データは端末にローカル保存されます。

できること：
• 日時・場所・テーマ付きイベント作成
• ゲストリストと出欠管理
• 席次・テーブル配置
• 予算と支出の記録
• タスクとリマインダー
• デジタル招待状の作成・共有
• PDFレポートの書き出し
• 任意のメールバックアップ

キーワード：ウェディングプランナー、結婚式 計画、誕生日 プランナー、パーティー プランナー、ゲストリスト、席次表、結婚式 予算、wedding planner。

アカウント不要。オフライン対応。My Perfect Partyをダウンロード — あなたのWedding & Events Planner。"
"ko-KR","Korean","나의 퍼펙트 파티","웨딩·이벤트 플래너 — 하객, 좌석, 예산, 할 일, 초대장.","My Perfect Party는 웨딩 플래너, 생일 플래너, 모든 축하 행사를 위한 앱입니다.

결혼식, 생일, 기념일, 약혼, 세례, 가족 모임을 폰에서 계획하세요. 데이터는 기기에 로컬 저장됩니다.

할 수 있는 일:
• 날짜·시간·장소·테마로 이벤트 생성
• 하객 명단과 참석 관리
• 좌석·테이블 배치
• 예산과 지출 추적
• 할 일과 알림
• 디지털 초대장 제작·공유
• PDF 보고서 내보내기
• 선택적 이메일 백업

키워드: 웨딩 플래너, 결혼식 계획, 생일 플래너, 파티 플래너, 하객 명단, 좌석 배치, 결혼식 예산, wedding planner, event planner.

계정 불필요. 오프라인 사용 가능. My Perfect Party 다운로드 — 웨딩 & 이벤트 플래너."
"zh-CN","Chinese (Simplified)","我的完美派对","婚礼与活动策划 — 宾客、座位、预算、待办与请柬。","My Perfect Party 是婚礼策划、生日策划和各类庆典的一站式应用。

在手机上规划婚礼、生日、纪念日、订婚、洗礼或家庭聚会，数据本地保存在设备上。

功能：
• 创建含日期、时间、地点和主题的活动
• 宾客名单与出席跟踪
• 座位与桌位规划
• 预算与分类支出
• 待办与提醒
• 设计并分享电子请柬
• 导出 PDF 报告
• 可选邮件备份

关键词：婚礼策划、婚礼计划、生日策划、派对策划、宾客名单、座位表、婚礼预算、wedding planner、event planner。

无需账号。可离线使用。下载 My Perfect Party — 你的婚礼与活动策划助手。"
"da-DK","Danish","Min perfekte fest","Bryllups- & eventplanner — gæster, bordplan, budget, opgaver og invitationer.","My Perfect Party er en bryllupsplanner, fødselsdagsplanner og app til alle fester.

Planlæg bryllup, fødselsdag, jubilæum, forlovelse, dåb eller familiesammenkomst — på telefonen, med lokale data på enheden.

Hvad du kan gøre:
• Opret events med dato, tid, sted og tema
• Gæsteliste og fremmøde
• Bordplan og siddepladser
• Budget og udgifter
• Opgaver og påmindelser
• Design og del digitale invitationer
• Eksporter PDF-rapport
• Valgfri e-mail-backup

Søgeord: bryllupsplanner, wedding planner, fødselsdagsplanner, festplanner, eventplanner, gæsteliste, bordplan, bryllupsbudget.

Ingen konto nødvendig. Virker offline. Download My Perfect Party — din wedding & events planner."
"sv-SE","Swedish","Min perfekta fest","Bröllops- & eventplanerare — gäster, bordsplacering, budget, uppgifter.","My Perfect Party är en bröllopsplanerare, födelsedagsplanerare och app för alla fester.

Planera bröllop, födelsedag, jubileum, förlovning, dop eller familjeträff — i telefonen, med lokala data på enheten.

Vad du kan göra:
• Skapa event med datum, tid, plats och tema
• Gästlista och närvaro
• Bordsplacering
• Budget och utgifter
• Uppgifter och påminnelser
• Designa och dela digitala inbjudningar
• Exportera PDF-rapport
• Valfri e-postbackup

Sökord: bröllopsplanerare, wedding planner, födelsedagsplanerare, festplanerare, eventplanerare, gästlista, bordsplacering, bröllopsbudget.

Inget konto behövs. Fungerar offline. Ladda ner My Perfect Party — din wedding & events planner."
"fi-FI","Finnish","Täydellinen juhlani","Häät & tapahtumasuunnittelija — vieraat, pöytäjärjestys, budjetti, tehtävät.","My Perfect Party on hääsuunnittelija, syntymäpäiväsuunnittelija ja sovellus kaikille juhille.

Suunnittele häät, syntymäpäivä, vuosipäivä, kihlajaiset, kaste tai sukujuhla — puhelimessa, tiedot paikallisesti laitteella.

Mitä voit tehdä:
• Luo tapahtumia päivämäärällä, ajalla, paikalla ja teemalla
• Vieraslista ja läsnäolo
• Pöytäjärjestys
• Budjetti ja kulut
• Tehtävät ja muistutukset
• Digitaaliset kutsut
• Vie PDF-raportti
• Valinnainen sähköpostivarmuuskopio

Hakusanat: hääsuunnittelija, wedding planner, syntymäpäiväsuunnittelija, juhlasuunnittelija, vieraslista, pöytäjärjestys, hääbudjetti, event planner.

Tiliä ei tarvita. Toimii offline. Lataa My Perfect Party — wedding & events plannerisi."
"et","Estonian","Minu täiuslik pidu","Pulma- ja ürituste planeerija — külalised, istekohtade plaan, eelarve.","My Perfect Party on pulmaplaneerija, sünnipäevaplaneerija ja äpp igaks peoks.

Planeeri pulm, sünnipäev, aastapäev, kihlus, ristimine või perekonna kokkutulek — telefonis, andmed seadmes kohalikult.

Mida saad teha:
• Loo sündmusi kuupäeva, kellaaja, asukoha ja teemaga
• Külaliste nimekiri ja kohalolek
• Istekohtade ja laudade plaan
• Eelarve ja kulud
• Ülesanded ja meeldetuletused
• Digitaalsed kutsed
• Ekspordi PDF-aruanne
• Valikuline e-posti varundus

Märksõnad: pulmaplaneerija, wedding planner, sünnipäevaplaneerija, peo planeerija, külaliste nimekiri, istekohtade plaan, pulma eelarve.

Kontot pole vaja. Töötab offline. Laadi alla My Perfect Party — sinu wedding & events planner."
"lv","Latvian","Mana ideālā ballīte","Kāzu un pasākumu plānotājs — viesi, sēdvietas, budžets, uzdevumi, ielūgumi.","My Perfect Party ir kāzu plānotājs, dzimšanas dienas plānotājs un lietotne jebkuram svētkam.

Plānojiet kāzas, dzimšanas dienu, jubileju, saderības, kristības vai ģimenes tikšanos — telefonā, ar lokāliem datiem ierīcē.

Ko varat darīt:
• Veidot notikumus ar datumu, laiku, vietu un tēmu
• Viesu saraksts un apmeklējums
• Sēdvietu un galdu plāns
• Budžets un izdevumi
• Uzdevumi un atgādinājumi
• Digitālie ielūgumi
• Eksportēt PDF pārskatu
• Neobligāts e-pasta dublējums

Atslēgvārdi: kāzu plānotājs, wedding planner, dzimšanas dienas plānotājs, ballītes plānotājs, viesu saraksts, sēdvietu plāns, kāzu budžets.

Konts nav nepieciešams. Strādā bezsaistē. Lejupielādējiet My Perfect Party — jūsu wedding & events planner."
"lt","Lithuanian","Mano tobula šventė","Vestuvų ir švenčių planuoklis — svečiai, sėdėjimo planas, biudžetas, užduotys.","My Perfect Party – vestuvių planuoklis, gimtadienio planuoklis ir programėlė bet kokiai šventei.

Planuokite vestuves, gimtadienį, sukaktį, sužadėtuves, krikštynas ar šeimos susitikimą – telefone, su vietiniais duomenimis įrenginyje.

Ką galite daryti:
• Kurti renginius su data, laiku, vieta ir tema
• Svečių sąrašas ir dalyvavimas
• Sėdėjimo ir stalų planas
• Biudžetas ir išlaidos
• Užduotys ir priminimai
• Skaitmeniniai kvietimai
• Eksportuoti PDF ataskaitą
• Pasirenkamas el. pašto atsarginis kopijavimas

Raktažodžiai: vestuvių planuoklis, wedding planner, gimtadienio planuoklis, vakarėlio planuoklis, svečių sąrašas, sėdėjimo planas, vestuvių biudžetas.

Paskyra nereikalinga. Veikia neprisijungus. Atsisiųskite My Perfect Party – jūsų wedding & events planner."
